iter	RMSE
0	26.11915954
1	24.96150913
2	23.85393914
3	22.79441357
4	21.79567961
5	20.85322256
6	19.97004911
7	19.11698798
8	18.32998962
9	17.57280205
10	16.8638079
11	16.18552251
12	15.54570061
13	14.93859123
14	14.37054547
15	13.84399028
16	13.34460693
17	12.87100358
18	12.43517905
19	12.00364886
20	11.60231082
21	11.221795
22	10.88083482
23	10.55283687
24	10.25120717
25	9.953851126
26	9.685348815
27	9.426553682
28	9.186303825
29	8.959892344
30	8.740358615
31	8.543924622
32	8.366805924
33	8.193073562
34	8.03548323
35	7.895062456
36	7.754707184
37	7.629703877
38	7.514283863
39	7.400086731
40	7.298319445
41	7.203445767
42	7.109452729
43	7.028013094
44	6.948628433
45	6.873340489
46	6.804357314
47	6.739132502
48	6.675585421
49	6.619434258
50	6.563069939
51	6.514958543
52	6.469349261
53	6.427858506
54	6.387598246
55	6.34818306
56	6.307653628
57	6.269751182
58	6.23935117
59	6.208288315
60	6.179375266
61	6.142140729
62	6.114282875
63	6.089183288
64	6.060240549
65	6.035329466
66	6.014285286
67	5.988853661
68	5.96509213
69	5.944072852
70	5.925577735
71	5.903925534
72	5.881596998
73	5.854054441
74	5.832187129
75	5.809472934
76	5.790811392
77	5.769362006
78	5.753047101
79	5.731875507
80	5.719028806
81	5.698520088
82	5.683719738
83	5.674063538
84	5.660130855
85	5.644302757
86	5.622724532
87	5.60565076
88	5.590314228
89	5.578397717
90	5.569932301
91	5.551619377
92	5.539472433
93	5.521216575
94	5.501276618
95	5.486187762
96	5.478920319
97	5.463018326
98	5.454094536
99	5.441518048
100	5.423077796
101	5.411030423
102	5.403647666
103	5.392707942
104	5.385524025
105	5.372869881
106	5.362859544
107	5.353100679
108	5.343553013
109	5.330953124
110	5.316025305
111	5.30516544
112	5.292342196
113	5.280711731
114	5.26804193
115	5.261492378
116	5.250715608
117	5.24052925
118	5.229500134
119	5.217956923
120	5.21032923
121	5.201872173
122	5.194690183
123	5.186019763
124	5.17752705
125	5.1657687
126	5.155985167
127	5.148881533
128	5.139403188
129	5.125181586
130	5.11801003
131	5.105004228
132	5.092498037
133	5.081189037
134	5.069523632
135	5.055898341
136	5.050017257
137	5.039437239
138	5.025437592
139	5.01598352
140	5.000608645
141	4.991114157
142	4.985350475
143	4.976483457
144	4.966548302
145	4.959621238
146	4.953738512
147	4.944667233
148	4.934580282
149	4.923920667
150	4.916455645
151	4.909503741
152	4.900987766
153	4.89324479
154	4.884065276
155	4.876586022
156	4.863696464
157	4.849973544
158	4.837195092
159	4.829371017
160	4.824529453
161	4.817112088
162	4.808885517
163	4.79729349
164	4.788630814
165	4.779471803
166	4.767998795
167	4.757804172
168	4.751138658
169	4.741363094
170	4.730448926
171	4.724786867
172	4.720113502
173	4.71036438
174	4.700496209
175	4.688503438
176	4.679162136
177	4.672272471
178	4.663940756
179	4.654224873
180	4.648121445
